,Year,Country,Continent_Name,Nominal GDP (Billion),Population,GDP per Capita
108,2019,Malawi,Africa,7.52,18628749.0,404.0
109,2019,Malaysia,Asia,365.3,31949789.0,11434.0
110,2019,Maldives,Asia,5.79,530957.0,10905.0
111,2019,Mali,Africa,17.65,19658023.0,898.0
112,2019,Malta,Europe,14.86,440376.99999999994,33744.0
113,2019,Marshall Islands,Oceania,0.22,58791.00000000001,3742.0
114,2019,Mauritania,Africa,5.65,4525698.0,1248.0
115,2019,Mauritius,Africa,14.39,1269670.0,11334.0
116,2019,Mexico,North America,1274.18,127575529.00000001,9988.0
117,2019,Micronesia,Oceania,0.38,543483.0000000001,699.0
118,2019,Moldova,Europe,11.69,,
119,2019,Mongolia,Asia,13.64,3225165.9999999995,4229.0
120,2019,Montenegro,Europe,5.42,627988.0,8631.0
121,2019,Morocco,Africa,119.04,36471766.0,3264.0
122,2019,Mozambique,Africa,15.09,30366042.999999996,497.0
123,2019,Myanmar,Asia,65.99,54045422.0,1221.0
124,2019,Namibia,Africa,14.37,2494524.0,5761.0
125,2019,Nauru,Oceania,0.11,10764.000000000002,10219.0
126,2019,Nepal,Asia,29.81,28608715.0,1042.0
127,2019,Netherlands,Europe,902.36,17097123.0,52778.0
128,2019,New Zealand,Oceania,204.67,4783062.0,42791.0
129,2019,Nicaragua,North America,12.53,6545503.000000001,1914.0
130,2019,Niger,Africa,9.44,23310718.999999996,405.0
131,2019,Nigeria,Africa,446.54,200963603.0,2222.0
132,2019,North Macedonia,,12.67,2083458.0,6081.0
133,2019,Norway,Europe,417.63,5378859.0,77643.0
134,2019,Oman,Asia,76.61,4974992.0,15399.0
135,2019,Pakistan,Asia,284.21,216565316.99999997,1312.0
136,2019,Palau,Oceania,0.29,18000.999999999996,16110.0
137,2019,Panama,North America,68.54,4246440.0,16141.0
138,2019,Papua New Guinea,Oceania,23.59,8776119.0,2688.0
139,2019,Paraguay,South America,40.71,7044639.0,5779.0
140,2019,Peru,South America,228.99,32510462.000000004,7044.0
141,2019,Philippines,Asia,356.81,108116621.99999999,3300.0
142,2019,Poland,Europe,565.85,37887771.0,14935.0
143,2019,Portugal,Europe,236.41,10226178.0,23118.0
144,2019,Puerto Rico,North America,99.91,2933404.0000000005,34059.0
145,2019,Qatar,Asia,191.85,2832071.0,67742.0
146,2019,Romania,Europe,243.7,19364558.0,12585.0
147,2019,Russia,,1637.89,,
148,2019,Rwanda,Africa,10.21,12626938.0,809.0
149,2019,Samoa,Oceania,0.91,197093.0,4617.0
150,2019,San Marino,Europe,1.59,33864.00000000001,46953.0
151,2019,São Tomé and Príncipe,,0.43,,
152,2019,Saudi Arabia,Asia,779.29,34268529.0,22741.0
153,2019,Senegal,Africa,23.94,16296362.0,1469.0
154,2019,Serbia,Europe,51.52,8772228.000000002,5873.0
155,2019,Seychelles,Africa,1.64,97741.0,16779.0
156,2019,Sierra Leone,Africa,4.23,7813206.999999999,541.0
157,2019,Singapore,Asia,362.82,5804343.000000001,62508.0
158,2019,Slovak Republic,,106.55,,
159,2019,Slovenia,Europe,54.15,2078654.0,26051.0
160,2019,Solomon Islands,Oceania,1.44,669821.0,2150.0
161,2019,Somalia,Africa,4.96,15442906.0,321.0
162,2019,South Africa,Africa,358.84,58558267.0,6128.0
163,2019,South Sudan,Africa,3.68,11062114.0,333.0
164,2019,Spain,Europe,1397.87,46736782.0,29909.0
165,2019,Sri Lanka,Asia,86.57,21323734.0,4060.0
166,2019,St. Kitts and Nevis,,1.03,,
167,2019,St. Lucia,,1.99,,
168,2019,St. Vincent and the Grenadines,,0.86,,
169,2019,Sudan,Africa,30.87,42813237.0,721.0
170,2019,Suriname,South America,3.77,581363.0,6485.0
171,2019,Sweden,Europe,528.93,10036391.0,52701.0
172,2019,Switzerland,Europe,715.36,8591360.999999998,83265.0
173,2019,Syria,,,,
174,2019,Taiwan Province of China,,586.1,,
175,2019,Tajikistan,Asia,8.15,9321023.000000002,874.0
176,2019,Tanzania,Africa,62.22,,
177,2019,Thailand,Asia,529.18,69625580.99999999,7600.0
178,2019,Timor-Leste,Asia,2.94,1293120.0,2274.0
179,2019,Togo,Africa,5.5,8082359.0,680.0
180,2019,Tonga,Oceania,0.49,104497.00000000001,4689.0
181,2019,Trinidad and Tobago,North America,22.61,1394969.0,16208.0
